City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
30,Lavrentiya,RU,2021-12-04 12:33:58,65.5833,-171.0,6.51,91,78,9.31
31,Alofi,NU,2021-12-04 12:33:58,-19.0595,-169.9187,73.29,100,99,4.61
32,Veydelevka,RU,2021-12-04 12:33:59,50.1521,38.4492,36.32,59,100,4.45
33,Huarmey,PE,2021-12-04 12:33:59,-10.0681,-78.1522,67.86,82,82,5.64
34,Dilla,ET,2021-12-04 12:33:59,6.41,38.31,77.38,41,77,2.95
35,Komsomolskiy,UZ,2021-12-04 12:33:59,40.4272,71.7189,48.92,53,100,2.3
36,Victoria,HK,2021-12-04 12:32:42,22.2855,114.1577,67.32,50,49,1.01
37,Torbay,CA,2021-12-04 12:34:00,47.6666,-52.7314,35.28,84,75,32.21
38,Novocheremshansk,RU,2021-12-04 12:34:00,54.3571,50.1666,36.61,97,100,14.9
39,Bambanglipuro,ID,2021-12-04 12:34:00,-7.95,110.2833,64.6,84,100,6.46
40,Waris Aliganj,IN,2021-12-04 12:34:01,25.0167,85.6333,73.26,37,62,4.56
41,Luau,AO,2021-12-04 12:34:01,-10.7073,22.2247,79.77,63,89,8.68
42,Cabo San Lucas,MX,2021-12-04 12:33:56,22.8909,-109.9124,74.52,82,96,8.57
43,Kavieng,PG,2021-12-04 12:34:01,-2.5744,150.7967,82.62,80,57,11.14
44,Lompoc,US,2021-12-04 12:34:02,34.6391,-120.4579,54.25,85,90,0.0
45,Elk City,US,2021-12-04 12:34:02,35.412,-99.4043,45.09,65,1,11.5
46,Yellowknife,CA,2021-12-04 12:34:02,62.456,-114.3525,-23.58,85,20,5.75
47,Tiznit,MA,2021-12-04 12:34:03,29.5833,-9.5,64.53,21,0,3.96
48,Ferkessedougou,CI,2021-12-04 12:35:03,9.6,-5.2,97.0,19,100,7.58
49,Busselton,AU,2021-12-04 12:35:03,-33.65,115.3333,68.04,69,0,15.82
50,Saint-Joseph,RE,2021-12-04 12:35:04,-21.3667,55.6167,84.56,79,38,6.53
51,Bardiyah,LY,2021-12-04 12:35:04,31.7561,25.0865,70.83,34,100,17.16
52,Puerto Ayora,EC,2021-12-04 12:31:15,-0.7393,-90.3518,68.67,89,80,6.49
53,Norman Wells,CA,2021-12-04 12:35:04,65.282,-126.8329,-45.36,66,20,0.0
54,Mataura,NZ,2021-12-04 12:35:04,-46.1927,168.8643,55.81,95,100,2.89
55,Buribay,RU,2021-12-04 12:35:05,51.9617,58.1592,34.02,92,100,15.26
56,Ryotsu,JP,2021-12-04 12:35:05,38.0833,138.4333,40.96,68,80,25.28
57,Saint-Philippe,RE,2021-12-04 12:35:05,-21.3585,55.7679,85.55,78,22,10.38
58,Hargeysa,SO,2021-12-04 12:35:06,9.56,44.065,70.79,42,0,17.22
59,Cuamba,MZ,2021-12-04 12:35:06,-14.8031,36.5372,95.79,25,14,5.84
60,Atuona,PF,2021-12-04 12:35:06,-9.8,-139.0333,77.79,76,11,19.24
61,Avarua,CK,2021-12-04 12:35:07,-21.2078,-159.775,73.45,94,100,1.14
62,Ostrovnoy,RU,2021-12-04 12:35:07,68.0531,39.5131,11.41,92,84,4.23
63,Hearst,CA,2021-12-04 12:35:07,49.6835,-83.6665,7.05,95,100,2.68
64,Barrow,US,2021-12-04 12:35:07,71.2906,-156.7887,3.22,72,1,19.57
65,Albany,US,2021-12-04 12:34:18,42.6001,-73.9662,32.74,77,97,1.88
66,Alice Town,BS,2021-12-04 12:35:08,25.7167,-79.3,74.7,67,4,11.18
67,Ambon,ID,2021-12-04 12:35:08,-3.6954,128.1814,79.3,88,100,11.07
68,Butaritari,KI,2021-12-04 12:35:09,3.0707,172.7902,82.78,75,11,16.22
