City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Hays,US,30.0502,-98.0336,52.25,45,91,5.99,overcast clouds
135,Pyay,MM,18.8167,95.2167,76.53,70,45,4.45,scattered clouds
136,Sooke,CA,48.3746,-123.7276,40.57,96,100,24.16,overcast clouds
137,Nuuk,GL,64.1835,-51.7216,21.81,73,75,9.22,light snow
138,Ahipara,NZ,-35.1667,173.1667,71.83,69,100,7.74,light rain
139,Provideniya,RU,64.3833,-173.3,12.31,73,90,11.18,overcast clouds
140,Tolaga Bay,NZ,-38.3667,178.3,72.34,65,100,13.6,light rain
141,Makakilo City,US,21.3469,-158.0858,73.72,86,75,5.75,moderate rain
142,Bubaque,GW,11.2833,-15.8333,80.98,73,21,4.52,few clouds
143,Dunedin,NZ,-45.8742,170.5036,53.8,92,96,10.63,overcast clouds
144,Zyryanovsk,KZ,49.7386,84.2719,20.7,94,100,1.45,overcast clouds
145,Hamilton,US,39.1834,-84.5333,33.55,62,20,4.0,few clouds
146,Buraydah,SA,26.326,43.975,50.45,45,6,6.51,clear sky
147,Tilichiki,RU,60.4667,166.1,-5.15,80,100,10.4,overcast clouds
148,Tim,RU,51.6222,37.1244,33.12,97,100,17.43,snow
149,Port Lincoln,AU,-34.7333,135.8667,62.85,49,37,14.45,scattered clouds
150,Ugoofaaru,MV,5.6667,73.0,82.27,76,31,8.1,scattered clouds
151,Fare,PF,-16.7,-151.0167,79.9,79,100,12.62,moderate rain
152,Moranbah,AU,-22.0016,148.0466,90.75,35,55,8.1,broken clouds
153,Wronki,PL,52.7105,16.3804,28.78,98,93,4.09,overcast clouds
154,Anito,PH,12.4497,125.2886,80.01,89,79,13.29,broken clouds
155,Maceio,BR,-9.6658,-35.7353,76.44,88,75,4.61,broken clouds
156,Axim,GH,4.8699,-2.2405,79.11,85,78,6.64,broken clouds
157,Luderitz,NA,-26.6481,15.1594,60.46,86,4,15.64,clear sky
158,Castro,BR,-24.7911,-50.0119,58.84,92,89,10.49,overcast clouds
159,Atkarsk,RU,51.8718,45.0078,23.97,79,99,13.06,overcast clouds
160,Tiksi,RU,71.6872,128.8694,-25.91,94,100,7.94,overcast clouds
161,Varkaus,FI,62.3153,27.873,10.51,92,99,5.01,overcast clouds
162,Shadegan,IR,30.6497,48.6647,58.95,46,15,6.91,few clouds
163,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,74.37,53,64,4.0,broken clouds
164,Chuy,UY,-33.6971,-53.4616,62.04,90,2,7.83,clear sky
165,Eldoret,KE,0.5204,35.2699,55.49,82,0,6.91,clear sky
166,Saldanha,ZA,-33.0117,17.9442,55.45,90,21,12.59,few clouds
167,Wawa,NG,9.9022,4.4192,74.39,35,16,4.23,few clouds
168,Altayskoye,RU,51.9533,85.3325,29.88,87,100,3.24,overcast clouds
169,Rosario Do Sul,BR,-30.2583,-54.9142,65.84,77,0,14.12,clear sky
170,Titay,PH,7.8125,122.5344,76.73,84,100,7.11,overcast clouds
171,Broome,US,42.2506,-75.833,36.86,66,90,5.01,overcast clouds
172,Necochea,AR,-38.5473,-58.7368,59.04,68,0,12.86,clear sky
173,Nago,JP,26.5881,127.9761,73.56,65,43,11.9,scattered clouds
174,Guerrero Negro,MX,27.9769,-114.0611,62.55,83,0,8.66,clear sky
175,Smithers,CA,54.7804,-127.1743,16.12,86,90,4.61,overcast clouds
176,Salalah,OM,17.0151,54.0924,73.49,31,0,9.22,clear sky
177,Ntoum,GA,0.3833,9.7833,74.97,97,100,3.56,overcast clouds
178,Klyuchi,RU,52.2667,79.1667,29.21,91,100,11.54,overcast clouds
179,Atuona,PF,-9.8,-139.0333,79.11,70,1,19.04,clear sky
180,Rawson,AR,-43.3002,-65.1023,79.48,25,0,26.19,clear sky
181,College,US,64.8569,-147.8028,24.46,82,75,0.0,broken clouds
182,Mehamn,NO,71.0357,27.8492,21.43,86,99,11.99,overcast clouds
183,East London,ZA,-33.0153,27.9116,63.54,94,75,6.91,broken clouds
184,Skjervoy,NO,70.0311,20.9714,21.52,56,29,13.69,scattered clouds
185,Srandakan,ID,-7.9386,110.2506,74.73,65,79,3.06,broken clouds
186,San Cristobal,VE,7.7669,-72.225,71.78,81,21,1.45,few clouds
187,Victoria,HK,22.2855,114.1577,73.04,57,0,5.99,clear sky
188,Chapleau,CA,47.8405,-83.4034,-1.25,92,100,10.36,overcast clouds
189,Beloha,MG,-25.1667,45.05,75.97,62,0,5.86,clear sky
190,Machico,PT,32.7,-16.7667,65.03,75,75,10.36,broken clouds
191,Golakganj,IN,26.1,89.8333,71.62,70,0,8.61,clear sky
192,Oshikango,NA,-17.4,15.8833,73.51,28,36,5.97,scattered clouds
193,Seoul,KR,37.5683,126.9778,54.01,53,0,4.61,clear sky
194,Waingapu,ID,-9.6567,120.2641,86.4,68,92,5.86,overcast clouds
195,Bengkulu,ID,-3.8004,102.2655,82.69,69,62,5.06,moderate rain
196,Kashi,CN,39.4547,75.9797,27.61,50,70,8.95,broken clouds
197,Hithadhoo,MV,-0.6,73.0833,82.27,78,100,15.93,overcast clouds
198,Kaeo,NZ,-35.1,173.7833,74.32,81,100,4.9,light rain
199,Mount Gambier,AU,-37.8333,140.7667,64.31,45,90,17.27,overcast clouds
200,Saint-Malo,FR,48.5,-1.8333,41.22,100,87,8.79,overcast clouds
201,Pevek,RU,69.7008,170.3133,-12.08,92,100,11.79,overcast clouds
202,Kargopol,RU,61.5071,38.9456,9.01,95,100,7.65,light snow
203,Traverse City,US,44.7631,-85.6206,21.94,76,90,20.71,light snow
204,Alihe,CN,50.5667,123.7167,21.51,68,9,2.48,clear sky
205,Fort Frances,CA,48.5999,-93.4003,-6.95,79,1,0.0,clear sky
